title,slug,excerpt,author,category,read_time,status,content,thumbnail_url,thumbnail_alt
"6 Ways to Snack smarter on the go","6-ways-to-snack-smarter-on-the-go-1","Pack nutritious snacks for traveling to assist you with adhere to a nutritious eating plan on the road and make good choices away from home to control your weight.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Are You Salad bar savvy?","are-you-salad-bar-savvy-2","Trying to eat a nutritious eating plan? Before you order the salad bar, know which foods to concentrate on and which to steer clear of.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Getting Into the habit: pack your lunch","getting-into-the-habit-pack-your-lunch-3","Pack a healthy, satisfying brown-bag lunch to save money and fuel your energy with the help of these tips and ideas for packing food and varying options.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Quick & Healthy: Making Nutrition Effortless","quick-healthy-making-nutrition-effortless-4","To assist you with achieve weight-reduction goals, steer clear of takeout and prepared foods. Make your own fast or portable food that's healthier.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Making Healthy choices at any restaurant","making-healthy-choices-at-any-restaurant-5","To steer clear of hidden calories in restaurant food, identify which options at each course are healthier and which keywords signal diet-busting dishes.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"6 Ways to Beat your cravings","6-ways-to-beat-your-cravings-6","Gain the ability to manage cravings and beat the urge to binge on sweets or junk food while staying in control of your weight.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Break 5 habits for weight-loss success","break-5-habits-for-weight-loss-success-7","Challenge yourself to steer clear of common behaviors associated with weight gain for two weeks to change unhealthy patterns and see faster results in your weight reduction.","FXMed Team","Weight Management","5 min read","draft","","",""
"How to eat more and Lose weight","how-to-eat-more-and-lose-weight-8","To shed pounds without feeling hungry or deprived, eat more healthy foods low in energy density.","FXMed Team","Weight Management","5 min read","draft","","",""
"Hunger vs. craving: What's the difference?","hunger-vs-craving-whats-the-difference-9","Gain the ability to tell when you're truly hungry and steer clear of overeating when your food craving is due to emotions, stress or boredom.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Learn how to track your eating habits","learn-how-to-track-your-eating-habits-10","A dietary log can assist you with shed pounds by making it easier to study your diet and find habits that you can change.","FXMed Team","Weight Management","5 min read","draft","","",""
"Mastering Portion Control for Better Health","mastering-portion-control-for-better-health-11","Learning to judge a serving of different foods using visual cues can assist you with keep portions and your diet under control.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Eating Well Without Breaking the Bank","eating-well-without-breaking-the-bank-12","A nutritious eating plan doesn't have to be expensive. Use these tips to plan affordable meals, shop smarter and recognize where you're saving money.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Stay hydrated in hot weather","stay-hydrated-in-hot-weather-13","Follow these guidelines for drinking enough fluid when you're exercising or active in warm weather.","FXMed Team","General Wellness","5 min read","draft","","",""
"Making A healthy diet work for you","making-a-healthy-diet-work-for-you-14","Discover general guidelines to make the Mayo Clinic Healthy Weight Pyramid the basis of a flexible, nutritious eating plan you can stick with for any lifestyle.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"3 Reasons to Use a foam roller","3-reasons-to-use-a-foam-roller-15","Follow these tips for self-massage and training with a foam roller -; an affordable device for improving flexibility, core strength and balance.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Building Strength with suspension training","building-strength-with-suspension-training-16","Suspension training brings the added challenge of instability to resistance training, engaging core muscles to perform exercises using suspended straps.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Understanding Your BMI and What It Means","understanding-your-bmi-and-what-it-means-17","Body mass index (BMI) gives a better estimate of your weight status than the scale alone, and it can help determine a healthy weight range for your body.","FXMed Team","Weight Management","5 min read","draft","","",""
"7 Simple, Nutritious Meals Ready in Minutes","7-simple-nutritious-meals-ready-in-minutes-18","These seven nutritious meals come together quickly and easily so you can steer clear of less healthy convenience food when you're short on time.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Can You Exercise too much?","can-you-exercise-too-much-19","Training too intensely can lead to extreme overreaching or overtraining syndrome and symptoms such as fatigue that halt fitness progress.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"7 Delicious Plant-Based Meals That Satisfy","7-delicious-plant-based-meals-that-satisfy-20","Healthy vegetarian meals can pack plenty of protein and fiber to fill you up -; and satisfy a variety of tastes.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
